product_id,product_name,category,brand,price,stock_quantity,description,created_at
2001,Classic Monitor,Premium Beauty & Personal Care,ProGear,205.21,238,Interesting help church successful effort. Care base know goal.,2023-08-01 08:13:00
2002,Ultimate Perfume,Budget Toys & Games,QualityFirst,568.17,10,Customer cultural forget few spring raise ever.,2023-10-22 14:30:00
2003,Premium Face Cream,Budget Clothing,SuperValue,240.08,456,Only need light sport future beat suffer. Show recently decide last next hear.,2023-08-03 16:47:00
2004,Pro Coffee Maker,Budget Books,FitLife,171.02,248,Sometimes trial off hospital high we as hit. Board notice later thus behavior bit need. Step owner agree.,2023-01-15 14:21:00
2005,Ultimate Dress,Luxury Automotive,EliteWare,552.52,318,Movie long attention western. Candidate day it report little.,2023-10-01 08:58:00
2006,Ultimate Laptop,Books,TopTier,262.87,443,And ago police put left gas human. However action boy true force.,2023-08-25 10:03:00
2007,Modern Perfume,Luxury Clothing,FitLife,278.26,172,Democratic recent student specific political respond to.,2023-07-14 12:48:00
2008,Ultimate Pot,Luxury Automotive,StyleMax,287.47,383,Analysis mention spring follow. Couple debate must voice building degree ground community.,2023-10-04 08:22:00
2009,Classic Monitor,Budget Toys & Games,TopTier,33.74,15,Recent question win really forward play this fish. Attack adult treatment large memory score me. Discussion pattern to.,2023-05-07 11:53:00
2010,Premium Shoes,Premium Electronics,HomeEssentials,289.39,58,Care fish skin always social increase. Seek director run garden day. Trade professor eat.,2023-10-16 11:29:00
2011,Modern Shampoo,Accessories,QualityFirst,368.27,382,Medical international level clearly culture. Computer eat experience large player even.,2023-02-28 20:52:00
2012,Deluxe Dumbbell,Pet Supplies,QualityFirst,25.14,159,Herself figure exist no lose. Carry light choice couple actually may.,2023-10-22 18:58:00
2013,Ultimate Lipstick,Premium Footwear,FitLife,54.83,353,Prepare unit save drug. Tv guess religious. Recently population end.,2023-11-18 11:06:00
2014,Modern Jeans,Premium Automotive,QualityFirst,471.74,177,"Reality may mouth though only. Sell under thank body of something. Especially decide security recognize.
Staff ability attorney recent.",2023-09-30 14:42:00
2015,Essential Monitor,Premium Pet Supplies,TopTier,211.32,434,Phone person than coach fall help. Ask ahead doctor magazine set. Article seem account.,2023-08-04 15:06:00
2016,Ultimate Shampoo,Professional Home & Office,UltraChoice,498.93,362,"Own than evidence. Happy peace probably little including.
Worry whatever spend. Plant them wide.",2023-03-20 14:11:00
2017,Pro Knife Set,Premium Home & Office,SuperValue,552.56,396,Collection land break production drive deep send. Black year ahead upon. Total short detail election live today.,2023-09-05 15:27:00
2018,Elite Knife Set,Luxury Clothing,MegaBrand,154.83,478,Whom join do else fact born future. Visit seat break happy table west officer ability. Operation couple hold interest.,2023-02-14 12:56:00
2019,Advanced Pan,Professional Toys & Games,EliteWare,346.2,342,"Wrong but you religious long stock manager. Arrive special check respond summer various.
Type simply task. Federal spring treatment city again hot.",2023-07-14 13:01:00
2020,Advanced Resistance Band,Footwear,EliteWare,135.14,408,"Gun task big. Heavy work quickly collection.
Green listen war bring. Practice order wide phone identify alone drive.",2023-05-13 13:17:00
2021,Elite Knife Set,Premium Health & Wellness,TechPro,314.8,97,"Of of event seat some Congress machine popular.
Number between as training somebody. If red hour stage. Major million once research so buy send.",2023-02-13 11:46:00
2022,Ultimate Hat,Premium Health & Wellness,SuperValue,151.78,243,"Woman media hair name.
Eat animal watch. Process knowledge officer reason mission. Paper member reach production and already.",2023-11-27 19:31:00
2023,Advanced Laptop,Books,BeautyPlus,140.73,354,"Lay war put vote century data. Run yet recent cover head price star painting.
First skin her who. Back by body nature at. Guy four event than.",2023-05-05 12:42:00
2024,Elite Shampoo,Professional Books,PremiumBrand,323.23,217,More red tend necessary. Between answer fish sell Congress south question small. Organization support local camera act message choice.,2023-10-09 13:22:00
2025,Advanced Knife Set,Budget Clothing,BeautyPlus,146.01,369,Expert weight minute responsibility under director player. Water image fine bed. Baby drive behavior offer.,2023-04-09 13:07:00
2026,Pro Sweater,Toys & Games,FitLife,445.77,141,Couple story account interesting move generation yes product.,2023-10-29 20:33:00
2027,Elite Yoga Mat,Pet Supplies,MegaBrand,124.52,116,Low enter able piece hour. Upon where middle throw very.,2023-07-04 10:19:00
2028,Premium Jacket,Premium Clothing,TechPro,584.82,283,"Cause section accept third. Book expect card inside former. Civil current look.
Inside nearly son research. Seem sister hundred rise score stay.",2023-05-30 19:08:00
2029,Advanced T-Shirt,Professional Baby Products,TechPro,348.69,240,With scene its face magazine set. Pay role cost exactly boy. Yes easy star cup relationship.,2023-09-03 15:21:00
2030,Deluxe Keyboard,Professional Electronics,MegaBrand,291.85,420,Imagine fill plan discuss from look.,2023-02-03 14:31:00
2031,Professional Keyboard,Bags & Luggage,HomeEssentials,488.56,485,"Best add necessary technology. Guess special sea open painting draw.
Once beautiful blood picture own. Only treatment pressure.",2023-06-05 09:15:00
2032,Professional Backpack,Luxury Health & Wellness,QualityFirst,476.53,115,Thus large response treat attack industry. So cold ever whose face what article. Scientist however range that will.,2023-09-25 14:28:00
2033,Advanced Dumbbell,Professional Baby Products,QualityFirst,594.11,156,Mean result else system fast environmental budget. Animal draw although challenge third. Establish so politics eat.,2023-10-19 17:03:00
2034,Elite T-Shirt,Professional Toys & Games,FitLife,379.04,135,Despite whole computer will Mr without.,2023-12-05 09:10:00
2035,Classic Sweater,Premium Health & Wellness,StyleMax,102.34,209,"Financial those stage. Could century interview lawyer population I right case.
Between himself body add store various car show.",2023-08-19 19:38:00
2036,Advanced Yoga Mat,Home & Kitchen,FitLife,179.97,144,Service throughout spring film look during myself. Physical but stay bill father.,2023-12-26 15:04:00
2037,Classic Pot,Premium Automotive,SuperValue,378.77,338,Page concern most. Consider interesting throw reach person expert then even.,2023-04-12 14:07:00
2038,Pro Coffee Maker,Premium Bags & Luggage,HomeEssentials,545.95,423,Floor interest really including soldier four. Himself near much manage movie. His ok instead official really.,2023-03-14 09:03:00
2039,Deluxe Dumbbell,Luxury Health & Wellness,BestBuy,496.29,471,Leave structure necessary use inside. Still argue case while region.,2023-05-28 15:07:00
2040,Advanced Dumbbell,Professional Accessories,ProGear,566.17,256,"Store indicate she like cell month we.
Reveal know population actually born art. Page community civil. Strategy quite then never stop try.",2023-10-04 15:28:00
2041,Professional Mouse,Professional Beauty & Personal Care,BestBuy,200.16,128,"Position crime board back owner suggest.
Executive must assume others series.",2023-01-14 09:14:00
2042,Elite Laptop,Professional Toys & Games,TopTier,494.63,295,Matter fire hospital green can push. Imagine scientist big space change onto.,2023-01-21 20:48:00
2043,Deluxe Belt,Professional Pet Supplies,TopTier,270.91,142,Task issue three similar hold decade particular avoid. Note yes best address. Natural why sit beautiful behind.,2023-04-03 17:27:00
2044,Advanced Tablet,Professional Books,SmartChoice,250.92,164,Guy expert important. True can happen suddenly weight health radio media. Theory yard amount within arm.,2023-12-10 09:54:00
2045,Deluxe Running Shoes,Premium Beauty & Personal Care,BestBuy,302.32,339,Should current forget fish you main. Boy lawyer nation we certainly degree nothing.,2023-07-25 20:35:00
2046,Premium Wallet,Books,SmartChoice,158.91,59,Clearly glass industry little read. Whole join tree now. Night throw cup.,2023-07-26 16:52:00
2047,Premium Wallet,Premium Beauty & Personal Care,TechPro,120.66,185,Reduce visit town between because. Bed administration usually billion. Until between know ok allow face inside development.,2023-11-15 20:31:00
2048,Advanced Keyboard,Automotive,BeautyPlus,334.03,474,Fish color occur involve new hot pattern hotel. Soon official can. Within community tough military join between.,2023-05-28 15:56:00
2049,Advanced Jeans,Clothing,TopTier,369.22,122,Occur agent safe work. Sing cost present develop create subject risk southern. Side process ever various physical point.,2023-12-30 10:19:00
2050,Pro Headphones,Premium Health & Wellness,ProGear,64.98,430,"Piece talk bring garden get yet outside. Citizen score unit.
Ahead age memory charge term boy describe foreign. Base reality call event current.",2023-02-28 15:07:00
2051,Deluxe Hat,Premium Footwear,BeautyPlus,310.22,139,Soldier onto close day reveal item land others. Staff performance parent investment note.,2023-08-01 15:30:00
2052,Classic Wallet,Premium Health & Wellness,HomeEssentials,236.31,471,Somebody together no history own money bill. Respond watch space provide off. Radio itself spend cup anyone management.,2023-11-03 16:47:00
2053,Deluxe Monitor,Premium Clothing,SuperValue,476.09,212,Expect popular task. Treatment expect success. Already mouth month front administration like.,2023-06-24 20:32:00
2054,Modern Headphones,Professional Clothing,BestBuy,186.14,300,Difficult because right speech staff Mr. Various test employee. Book water avoid.,2023-10-24 18:31:00
2055,Deluxe Sunglasses,Budget Pet Supplies,EliteWare,213.61,282,Next their process same day back. Art actually democratic stand could bit decade.,2023-10-06 14:29:00
2056,Essential Blender,Professional Accessories,FitLife,347.35,119,Environment live most goal. Until base issue character. Issue free kid have any him up.,2023-07-30 08:20:00
2057,Advanced Perfume,Premium Sports & Outdoors,TopTier,477.5,333,"Offer draw mother.
Third record identify hotel detail. Manager commercial data PM relationship.",2023-03-19 15:02:00
